# time[sec] ratio
3.055389999999999873e+03 1.512050312014591273e-02
3.056389999999999873e+03 1.515874502776307087e-02
3.057389999999999873e+03 1.524356682760950703e-02
3.058389999999999873e+03 1.511949709589819300e-02
3.059389999999999873e+03 1.537466292519334803e-02
3.060389999999999873e+03 1.520681861353757013e-02
3.061389999999999873e+03 1.503479011726692634e-02
3.062389999999999873e+03 1.545018723625708225e-02
3.063389999999999873e+03 1.519570490377794569e-02
3.064400000000000091e+03 1.508982886290194218e-02
3.065389999999999873e+03 1.542218562591490816e-02
3.066400000000000091e+03 1.517300048226262119e-02
3.067389999999999873e+03 1.515947104680475180e-02
3.068389999999999873e+03 1.520116836917854986e-02
3.069389999999999873e+03 1.535994541112248313e-02
3.070389999999999873e+03 1.551988516892749241e-02
3.071389999999999873e+03 1.536264191480547943e-02
3.072389999999999873e+03 1.542056775040675891e-02
3.073389999999999873e+03 1.545455530200179166e-02
3.074389999999999873e+03 1.532318449093567070e-02
3.075389999999999873e+03 1.563591553692963987e-02
3.076389999999999873e+03 1.545191395362628325e-02
3.077389999999999873e+03 1.530655391120507545e-02
3.078389999999999873e+03 1.564551348304049627e-02
3.079389999999999873e+03 1.538804095315207503e-02
3.080389999999999873e+03 1.538850797379439674e-02
3.081389999999999873e+03 1.561125944767720146e-02
3.082389999999999873e+03 1.541655156537753181e-02
3.083389999999999873e+03 1.557074972585082567e-02
3.084389999999999873e+03 1.552855130357590902e-02
3.085389999999999873e+03 1.548531544247017631e-02
3.086389999999999873e+03 1.563493754236467553e-02
3.087389999999999873e+03 1.547291502547644589e-02
3.088389999999999873e+03 1.566739265106384740e-02
3.089389999999999873e+03 1.564532918010205775e-02
3.090389999999999873e+03 1.547269857804686038e-02
3.091389999999999873e+03 1.584048410880682656e-02
3.092389999999999873e+03 1.563802619655655160e-02
3.093389999999999873e+03 1.551554565422518482e-02
3.094389999999999873e+03 1.583607442202466381e-02
3.095389999999999873e+03 1.557668216037746620e-02
3.096389999999999873e+03 1.563427755519231077e-02
3.097389999999999873e+03 1.578874250749250779e-02
3.098389999999999873e+03 1.564956176725967180e-02
3.099389999999999873e+03 1.583503153808830596e-02
3.100389999999999873e+03 1.571028832032155681e-02
3.101389999999999873e+03 1.575143651029161859e-02
3.102389999999999873e+03 1.583645320953664531e-02
3.103389999999999873e+03 1.568848775716076213e-02
3.104389999999999873e+03 1.595259695211666967e-02
3.105389999999999873e+03 1.586780908541934876e-02
3.106389999999999873e+03 1.571319966867503956e-02
3.107389999999999873e+03 1.610288025548709673e-02
3.108389999999999873e+03 1.585172086247742598e-02
3.109389999999999873e+03 1.574144088162849828e-02
3.110389999999999873e+03 1.601831448566943747e-02
3.111389999999999873e+03 1.583388953160689075e-02
3.112389999999999873e+03 1.593917611280066399e-02
3.113389999999999873e+03 1.598402656618822318e-02
3.114389999999999873e+03 1.588686358945936780e-02
3.115389999999999873e+03 1.605661402492031264e-02
3.116389999999999873e+03 1.594994270853912141e-02
3.117389999999999873e+03 1.601917005684103459e-02
3.118389999999999873e+03 1.609321085105406071e-02
3.119389999999999873e+03 1.592220722536766622e-02
3.120389999999999873e+03 1.626949065806101297e-02
3.121389999999999873e+03 1.609189480744895040e-02
3.122389999999999873e+03 1.593369059739688232e-02
3.123389999999999873e+03 1.627854764243446758e-02
3.124389999999999873e+03 1.605373838948563961e-02
3.125389999999999873e+03 1.603052239999727679e-02
3.126389999999999873e+03 1.625549075651931685e-02
3.127389999999999873e+03 1.606688443625829688e-02
3.128389999999999873e+03 1.622332364876547320e-02
3.129389999999999873e+03 1.617539948981838727e-02
3.130389999999999873e+03 1.614707577555517942e-02
3.131389999999999873e+03 1.631543022473970483e-02
3.132389999999999873e+03 1.615873242695191683e-02
3.133389999999999873e+03 1.635630831158641635e-02
3.134389999999999873e+03 1.636008590736231713e-02
3.135389999999999873e+03 1.620752173942789989e-02
3.136389999999999873e+03 1.656468450554536564e-02
3.137389999999999873e+03 1.638661712597408449e-02
3.138389999999999873e+03 1.623509135255446489e-02
3.139389999999999873e+03 1.653546406360702214e-02
3.140389999999999873e+03 1.631714557395598855e-02
3.141389999999999873e+03 1.635377552442086879e-02
3.142389999999999873e+03 1.649364342136488623e-02
3.143389999999999873e+03 1.636274991112390137e-02
3.144389999999999873e+03 1.656905535255109169e-02
3.145389999999999873e+03 1.645546233246865386e-02
3.146389999999999873e+03 1.649647679673257178e-02
3.147389999999999873e+03 1.659876875462558063e-02
3.148389999999999873e+03 1.642237765989551512e-02
3.149389999999999873e+03 1.669103586391204250e-02
3.150389999999999873e+03 1.661017686965490098e-02
3.151389999999999873e+03 1.650223089513621483e-02
3.152389999999999873e+03 1.683836785018077639e-02
3.153389999999999873e+03 1.661203168828746107e-02
3.154389999999999873e+03 1.655190075498054469e-02
3.155389999999999873e+03 1.685059163748275565e-02
3.156389999999999873e+03 1.663638624119353343e-02
3.157389999999999873e+03 1.676074952715661190e-02
3.158389999999999873e+03 1.678257446963332331e-02
3.159389999999999873e+03 1.670285655793189369e-02
3.160389999999999873e+03 1.690537573435841115e-02
3.161389999999999873e+03 1.674312454956215085e-02
3.162389999999999873e+03 1.686583405384258980e-02
3.163389999999999873e+03 1.694289506014676899e-02
3.164389999999999873e+03 1.678681180286577257e-02
3.165389999999999873e+03 1.714189771360990350e-02
3.166389999999999873e+03 1.696829986279973709e-02
3.167389999999999873e+03 1.682387260262311821e-02
3.168389999999999873e+03 1.719774585128516081e-02
3.169389999999999873e+03 1.695245308754914082e-02
3.170389999999999873e+03 1.694463673496169470e-02
3.171389999999999873e+03 1.717592319151588914e-02
3.172389999999999873e+03 1.698276879112812360e-02
3.173389999999999873e+03 1.715613790844320793e-02
3.174389999999999873e+03 1.711518099777420074e-02
3.175389999999999873e+03 1.710020853552973383e-02
3.176389999999999873e+03 1.727963107419813737e-02
3.177389999999999873e+03 1.710507936612028906e-02
3.178389999999999873e+03 1.728913565978014086e-02
3.179389999999999873e+03 1.730560221971642193e-02
3.180389999999999873e+03 1.713229271181144001e-02
3.181389999999999873e+03 1.751268584516358501e-02
3.182389999999999873e+03 1.734222602345433448e-02
3.183389999999999873e+03 1.719182363041862199e-02
3.184389999999999873e+03 1.754921152979341606e-02
3.185389999999999873e+03 1.733097349790772845e-02
3.186389999999999873e+03 1.734403162783354491e-02
3.187389999999999873e+03 1.748688654518427976e-02
3.188389999999999873e+03 1.738000138071145798e-02
3.189389999999999873e+03 1.756002798185777453e-02
3.190389999999999873e+03 1.747950819672131062e-02
3.191389999999999873e+03 1.754193741155302480e-02
3.192389999999999873e+03 1.766784811788257858e-02
3.193389999999999873e+03 1.748707162451272612e-02
3.194389999999999873e+03 1.775249949993605580e-02
3.195389999999999873e+03 1.765713124666140263e-02
3.196389999999999873e+03 1.747904224964538095e-02
3.197389999999999873e+03 1.789558117226454706e-02
3.198389999999999873e+03 1.767800855382764200e-02
3.199389999999999873e+03 1.760554081085674918e-02
3.200389999999999873e+03 1.790626663488010042e-02
3.201389999999999873e+03 1.769306307276221138e-02
3.202389999999999873e+03 1.780255990310007988e-02
3.203389999999999873e+03 1.784355008240011420e-02
3.204389999999999873e+03 1.778508028999254559e-02
3.205389999999999873e+03 1.800604925824571614e-02
3.206389999999999873e+03 1.782182450340562621e-02
3.207389999999999873e+03 1.795708905327212529e-02
3.208389999999999873e+03 1.799560028873105344e-02
3.209389999999999873e+03 1.787682536507301592e-02
3.210389999999999873e+03 1.819751355393531625e-02
3.211389999999999873e+03 1.808765113604575078e-02
3.212389999999999873e+03 1.790787262943904778e-02
3.213389999999999873e+03 1.831592814445327441e-02
3.214389999999999873e+03 1.810445024069588099e-02
3.215389999999999873e+03 1.805972331081501236e-02
3.216389999999999873e+03 1.828935000858744261e-02
3.217389999999999873e+03 1.810043872806359894e-02
3.218389999999999873e+03 1.827315723412180348e-02
3.219389999999999873e+03 1.821349444860533365e-02
3.220389999999999873e+03 1.821996189616705356e-02
3.221389999999999873e+03 1.841046183141556089e-02
3.222389999999999873e+03 1.822275653066846718e-02
3.223389999999999873e+03 1.844252035522288974e-02
3.224389999999999873e+03 1.843404247332514068e-02
3.225389999999999873e+03 1.824977096563390466e-02
3.226389999999999873e+03 1.864234748706670303e-02
3.227389999999999873e+03 1.846894296563710361e-02
3.228389999999999873e+03 1.833638714904490055e-02
3.229389999999999873e+03 1.868507210925002618e-02
3.230389999999999873e+03 1.848670934683178946e-02
3.231389999999999873e+03 1.854516555633509839e-02
3.232389999999999873e+03 1.860308368680144500e-02
3.233389999999999873e+03 1.852795328503236208e-02
3.234389999999999873e+03 1.878185145025752442e-02
3.235389999999999873e+03 1.861943001682199450e-02
3.236389999999999873e+03 1.871747872783894109e-02
3.237389999999999873e+03 1.883763775527379572e-02
3.238389999999999873e+03 1.864389465088040973e-02
3.239389999999999873e+03 1.896372708483655065e-02
3.240389999999999873e+03 1.889257225415832270e-02
3.241389999999999873e+03 1.869164261597945978e-02
3.242389999999999873e+03 1.909141350663683123e-02
3.243389999999999873e+03 1.890501145308528044e-02
3.244389999999999873e+03 1.882676682508048482e-02
3.245389999999999873e+03 1.909607238531941392e-02
3.246389999999999873e+03 1.891744586463401170e-02
3.247389999999999873e+03 1.904840809200753632e-02
3.248389999999999873e+03 1.901223146976746894e-02
3.249389999999999873e+03 1.896567656967652893e-02
3.250389999999999873e+03 1.925132725511111836e-02
3.251389999999999873e+03 1.905881526588873442e-02
3.252389999999999873e+03 1.922477379190381044e-02
3.253389999999999873e+03 1.928999792993436532e-02
3.254389999999999873e+03 1.909149198670224284e-02
3.255389999999999873e+03 1.947830072143765315e-02
3.256389999999999873e+03 1.934757701773742039e-02
3.257389999999999873e+03 1.915968573711352568e-02
3.258389999999999873e+03 1.953988768459804029e-02
3.259389999999999873e+03 1.936421369232580944e-02
3.260389999999999873e+03 1.937124782520858318e-02
3.261389999999999873e+03 1.953633922840724776e-02
3.262389999999999873e+03 1.940436918335159203e-02
3.263389999999999873e+03 1.964073387649982461e-02
3.264389999999999873e+03 1.953165315357357004e-02
3.265389999999999873e+03 1.957323317510421129e-02
3.266389999999999873e+03 1.979314374521863248e-02
3.267389999999999873e+03 1.956316979677624399e-02
3.268389999999999873e+03 1.983947296283689044e-02
3.269389999999999873e+03 1.983162326496071617e-02
3.270389999999999873e+03 1.961231186032510315e-02
3.271389999999999873e+03 2.002426892494977781e-02
3.272389999999999873e+03 1.984523119172883557e-02
3.273389999999999873e+03 1.973737434448768688e-02
3.274389999999999873e+03 2.009017368117613223e-02
3.275389999999999873e+03 1.990341628511248587e-02
3.276389999999999873e+03 1.998983873868473080e-02
3.277389999999999873e+03 2.003579408963199193e-02
3.278389999999999873e+03 1.991963879374356386e-02
3.279389999999999873e+03 2.019744715992052853e-02
3.280389999999999873e+03 2.002552965056664247e-02
3.281389999999999873e+03 2.010972708521759078e-02
3.282389999999999873e+03 2.027459647113560512e-02
3.283389999999999873e+03 2.007485101311084694e-02
3.284389999999999873e+03 2.044355114862953307e-02
3.285389999999999873e+03 2.035111260536204628e-02
3.286389999999999873e+03 2.012730167972857920e-02
3.287389999999999873e+03 2.056151891519627725e-02
3.288389999999999873e+03 2.037334195477303461e-02
3.289389999999999873e+03 2.028261956242032732e-02
3.290389999999999873e+03 2.054569441820929335e-02
3.291389999999999873e+03 2.039757823956191152e-02
3.292389999999999873e+03 2.056264289249769978e-02
3.293389999999999873e+03 2.050730524258585416e-02
3.294389999999999873e+03 2.048552006759362179e-02
3.295389999999999873e+03 2.078225445640144095e-02
3.296389999999999873e+03 2.055331923914929457e-02
3.297389999999999873e+03 2.071324706824283213e-02
3.298389999999999873e+03 2.081273326404308593e-02
3.299389999999999873e+03 2.061032905520151018e-02
3.300389999999999873e+03 2.100953280914769419e-02
3.301400000000000091e+03 2.089771570345645008e-02
3.302389999999999873e+03 2.071502265285067243e-02
3.303389999999999873e+03 2.109175944679474168e-02
3.304389999999999873e+03 2.089167134692259190e-02
3.305389999999999873e+03 2.092865286673064457e-02
3.306389999999999873e+03 2.108565650120836077e-02
3.307389999999999873e+03 2.094712409761149280e-02
3.308389999999999873e+03 2.119255249610665914e-02
3.309389999999999873e+03 2.103948244237563436e-02
3.310389999999999873e+03 2.107390571376964450e-02
3.311389999999999873e+03 2.131070342096632111e-02
3.312389999999999873e+03 2.108588532579267275e-02
3.313389999999999873e+03 2.139729028192470864e-02
3.314389999999999873e+03 2.139932139231370475e-02
3.315389999999999873e+03 2.117536721811709086e-02
